Comment,label
"Nhắn chị chia sẻ nơi học gần trường, có kèm 1:1 mà học từ mất gốc nha",NEU
"2. Cách học hiệu quả ko lan man, ưu tiên thứ tự.",POS
Em nhắn anh rcm choa nhenn,NEU
6. Trả lời thắc mắc nhanh nhất.,POS
4. Trick.,POS
200m + ưu đãi nạp vip,POS
Phạm Huy =)))),NEU
Hoàng Nhật ko kịp nữa đâu,NEG
Phạm Huy random,NEU
Còn bạn nào chưa nhận được bộ tài liệu của chị không nhỉ @mọi người Nhắn chị gửi nốt nhó,NEU
Các em có vậy khum,NEU
Lê Hải Nguyễn Tiến Đạt 2 em yêu,POS
Vũ Văn Tiến ok babi,POS
có nma nạo vip thì cho,NEG
Em nhắn c gửi em mk nhó,NEU
Trần Quốc Vượng,POS
có cơ mà ...,NEU
Đặng HồngAnh xem ngân hàng tài liệu ở đâu vậy ạ,NEU
Minh Thu em rep story c nhe,POS
Cho em xin ạ,NEU
Em chị ơi,NEU
Vì con nhớ mẹ và mẹ cũng rất nhớ con !!!,POS
Sao bt,NEU
@mọi người có bạn nào giống chị hong,NEU
@mọi người ae rep story nhắn c nha,POS
Lại hốt bạc,POS
Hà Văn Huỳnh túc tắc thôi anh ơi làm dần dần mua từng phụ kiện một,NEU
Em nhắn c gửi nhó,NEU
Em rep story nhắn c gửi liềnnn,NEU
trg mình thiếu à??,NEG
. em ạ,NEU
Em xin tài liệu ạ,NEU
Em :)),NEU
Em nhắn ngay c gửi tl ôn tadv siêu sát cho em,POS
Đặng HồngAnh em nữa ạ,POS
khấn các cụ,POS
"Full B bạn nhá , tin tôi.",POS
Toàn c nhé,NEU
Em nhắn c gửi tài liệu ôn nhaa,NEU
Đặng HồngAnh em nx đc ko ạ,POS
Hoàng Xuân Đức hí hi em rep story nhắn c nhe,POS
@mọi người ae rep story nhắn c nhaaa,POS
"Nguyễn Thu Phương ôi thật ạ , cô tvts nói em là đc tiếp xúc ngay từ năm 1,2 r cơ chị ợ với em cũng k hiểu em đki hệ liên kết nma em lại học hệ vhvl..",POS
Thu Hà dạ e rep r ạ,POS
Em rep story nhắn c cse cho em ne,NEU
Người tham gia ẩn danh nhất trí,POS
Phải sang năm 2 em ui,NEU
Em nhắn c cse cho em nhó về 2 hệ lun nee,NEU
@mọi người ib anh tặng 50 slot đầu tiên free nha,POS
Tam Thanh em rep story nhắn cnhe,NEU
"5 đề test Toeic nghe + đọc form tiếng anh đầu vào, 2k7 ib chị gửi nha",POS
bao nhiêu điểm là pass v ạ,POS
"Đoàn Tuấn thì cũng có tỉ lệ mà, chứ sao năm nào cx có lớp bổ trợ tanh",NEU
@mọi người cần học cấp tốc pass tadv = bài giảng thì nhắn a để nhận,NEU
Khắc An nhầm 225 pass nhé,NEG
lm bừa cx qua mà,NEG
Như Huế năm ngoái cx nghỉ 4 tuần hả b,NEU
Tiên tri nghỉ tết 4 tuần như trường khác,NEU
Nghỉ hè ít lắm còn nghỉ tết năm nhất cx thế kk,NEU
Dương Quang Khải năm ngoái nghỉ tết đc máy tuần v ạ,POS
Nghỉ hè năm nhất có khoảng 2 tuần thoi,NEU
Năm nhất nghỉ hè 3 tuần e nhé :)))),NEU
Chắc kh có nghỉ hè,NEU
@mọi người Các tsv đã có file tl để học chưa nhỉ ???,NEU
Mình xin với,NEG
Cho em xin ạ,NEU
Ae rep story nhắn c nha,NEU
Tam Thanh em rep story c nhe,NEU
mấy bé này đã cày điểm rèn luyện rồi á,POS
Toeic có miễn được tiếng anh trên trường không ạ. Em thấy mn kể ta trên trường khó lắm,NEU
Người ẩn danh 322 toeic 735 là miễn full nha. vừa đỡ tốn tiền mà dễ all in học bổng,POS
"Người tham gia ẩn danh 815 h học thì vẫn thoải mái nhé, e inb a để bt thêm",POS
Nguyễn Thu Phương oki,POS
Anh cse em vs ạ,POS
"bây giờ học toeic kịp ko anh, anh tư vấn e với",POS
Chỉ thế thui ạ,NEU
ô chính xác,NEU
Phải vậy ko ae,NEU
Bạn nào muốn nhận tài liệu đề cương nhắn c gửi nhen,NEU
2k7 cmt “.” c gửi nhó,NEG
@mọi người,POS
Toeic miễn cực kì nhiều course Ta trên trường và miễn rất nhiều HỌC PHÍ - D25 nhắn anh Trung chia sẻ môi trường học nha,POS
Hí ae rep story nhắn c nha,NEU
Ae rep STR nhắn chị cse lộ trình học Toeic và cải thiện TA từ mất gốc neee @mọi người,POS
Người tham gia ẩn danh học ngành nào còn k bt nx thì phải,NEU
Người tham gia ẩn danh 931 mình ko rõ nữa hình như là hệ VHVL hay sao ý,NEU
"bạn học hệ nào, CQ hay hệ VHVL",NEU
Ai cần ôn Aptis B1-2 ib mình có full tài liệu ôn 3 tuần đỗ B2,NEU
Các anh cntt trl cho em neee,POS
Ai cần ôn Aptis B1-2 ib mình có full tài liệu ôn 3 tuần đỗ B2,NEU
"@mọi người đầu T10 thi TA đầu vào hệ đại trà, “.” Và add fb chị tặng tài liệu ôn 2 kỹ năng nghe đọc từ mất gốc, chia sẻ môi trường học Toeic",POS
Em có ielts 6.0 vẫn phải thi ạ?,NEU
Mai Chi 515 ạ,POS
Hoàng Nguyên xịn wa,POS
Hoàng Nguyên em làm bài tốt hong,POS
ptit hcm mới thi xong sáng nay...,NEU
Bao h thi v ae,POS
"wao vui quá , thật bất ngờ",POS
=)))),NEU
Thông tin đâu ra??,NEU
Trường sáng nay ko cho nghỉ mai nghỉ cả ngày xong t7 đi học. Tránh bão luoonj hả,NEG
Phạm Cảnh haha bọn a trêu nhau quen r e k có ác ý đâu,NEU
Ủa thế khác ngày thường ở điểm nào nhỉ?,NEU
Trần Quốc Vượng,POS
Dương Quang Khải nếu ko có tiết kìa,NEU
Dương Quang Khải đọc kĩ đi ní,POS
Phạm Cảnh đọc kĩ đi ní,POS
Trần Đức Minh b ib mình nhé,NEU
xin giá ạ,NEU
Lẻ găng kh b ơi,NEG
giá shop,NEU
Đức Quang bác ib e nhé,NEU
nối lơ ib,NEU
Đức Bình ib nhé,NEU
Flex đã pass đi AE ƠI,POS
Đúng nhận sai cãi giúp sốp,NEU
2k7 muốn nhận bộ tài liệu ôn TA đầu vào ib chị nhaa,NEU
"Ca làm linh hoạt 9h,9h15,9h30,...10h30 đến 13h,13h15,13h30..14h00 và ca tối từ 17h,17h15,... đến 22h30,23h, sắp xếp dễ cho lịch học (ưu tiên ca sáng)",POS
"Gọi/Zalo 0982 993 484 (Chị Yến) – Phỏng vấn nhanh, đi làm ngay",POS
"Đi làm thêm cho vui – Có tiền tiêu rủng rỉnh, lại thêm bạn mới",POS
Danh Dang em rep story nhắn c nhe,POS
Nhà hàng Yakimono Linh Đàm,POS
Không cần kinh nghiệm – Được training hết,NEG
Nhà hàng Yakimono 107 Nguyễn Văn Lộc,POS
Nhà hàng Yakimono Aeon Mall Hà Đông,POS
tuyển Phục vụ/Phụ bếp 25K/giờ,NEU
"Nói chung nghỉ xin hay không xin thì vấn tính nghỉ thôi, đừng nghỉ quá 20% thì vô tư nhá Nma điểm chuyên cần k cao thôi",NEG
"Vô tư đi bạn, nghỉ quá 20% mới sợ",POS
Lập clb đi mn,NEU
Ai có hứng thú muốn tìm hiểu thêm thì ib mik nhaa,POS
Đặng Tài đi học thôi,NEU
Trần Quốc Vượng trick là hối lộ thg lớp trưởng à bạn,POS
Trần Quốc Vượng Sáng nay em có đi CNS và AI mà SLink không điểm danh đc nhưng có chụp công chứng lại thì có làm sao k anh,NEU
@mọi người tin juaan nhé. lần đầu tự viết,POS
Người tham gia ẩn danh 856 nhóm nào thế ạ a cho e vào míii,NEU
A chỉ trick đi ạ,POS
Người tham gia ẩn danh 856 tiêvs là full ng rùi,NEU
Anh ơi em xin trick với ạ,POS
Duy Duy e xem e có nhắn đc cho a ko,NEU
Trần Quốc Vượng thế ib thầm kín đc k a,NEU
Phạm Chiến ô kìa đâu phải đâu,NEU
trick là hối lộ a vượng nhé,POS
Người tham gia ẩn danh 856 hmm trong nhóm đrl a có chỉ r,NEG
này chỉ anh Vượng mới nghĩ raa hé hé,NEU
Tâm huyết quá anh ơi,NEU
Trần Quốc Vượng em xin trick với anh,POS
Hí ae rep str nhắn c nhe,POS
Dương Phùng đc quà nào ko,NEU
Dương Phùng vui ko anh,POS
Nhận kiểu j v ạ,NEU
Có cần tham gia đủ 7hđ ms có đrl ko hay là có tham gia là đc?,NEU
k thấy trong slink cũng nhận đc hả c,POS
Nguyễn Văn Chức còn kh v,NEU
Nhận đrl kiểu j v ạ,NEG
Có hẻ :)))),NEU
Huyền Trang ê m ơi:),POS
chiều đến còn nhận đrl được k ạ,POS
Các lại lưu lại ngay ne,POS
@mọi người đến nhận quà th,POS
Người tham gia ẩn danh 711 a cx k bt,NEG
Phạm Chi,NEU
Đăng Hải lấy hộ đe:))),POS
Dương Quang Khải e nghe nói tham gia nhận đc đrl pk ạ,POS
Người tham gia ẩn danh 667 thi bao la den nhan qua ma chu co phai ma dau e-,NEG
Nguyễn Ly :)),NEU
Dương Quang Khải mã qr j vậy a,NEU
Người tham gia ẩn danh 223 làm gì có,NEG
Quảng bá hình ảnh trường khoa nnao v ạ?,NEG
Điểm rl là tính theo năm hay toàn khoá v ạ,NEU
hình thức quảng bá như nào vậy ạ,NEG
hnay tới mấy h hết vậy ạ,NEU
Ae rep story nhắn c nhaaa @mọi người,POS
Vũ Nương a chiếm trọn spotlight luôn:)),POS
Nguyễn Hải Yến e uu đứng canh cổng,NEU
Khúc Xuân Bách troi oi bộ xương di động,NEU
chị còn tích cực đi sự kiện hơn cả em :)),POS
Ký túc xá cúp điện nên mới di cư ra đây đông vậy đó =)),NEU
C iu ngồi đâu rui,NEU
Bảo sao thầy thu mã,NEG
Thúy Đặng buồn quá,NEG
Đặng Thúy giá như...,POS
@mọi người Các e có quét dc đrl lck khum ???,NEU
Nguyen Thu Ha giá như khoảng cách đôi ta gần hơn,NEU
D25 bây giờ kiểu,NEG
Người tham gia ẩn danh 128 b1 4 còn lại 8 nhé,POS
hộ khẩu hà nội có đăng ký dc ko ạ,NEU
Cho e hỏi 1p bnh người vậy ạ,NEU
@mọi người dành cho bạn nào có nhu cầu đki ktx,NEU
Minh Duc ai cx đc,NEU
https://daotao.ptit.edu.vn/thong-bao-ve-viec-dang-ky-hoc.../,POS
Thùy Linh có gì chia sẻ cho bạn với nhé =)),POS
Em nhé chị ơi,NEU
@mọi người nhắn c gửi ngay ne,POS
Người tham gia ẩn danh 549 có ne em rep story c nhó,NEU
Ae rep story nhắn c gửi lun cho neee,NEU
Đỗ Thái Trol em rep story nhắn c nhee,NEU
"Cho e xin đề cương của giải tích 1,2, đại số và xác số thống kê ạ, e cảm ơn",POS
Hệ vlvh có k chị,POS
D25 nhắn chị/ rep story chị gửi cho nhé @mọi người,POS
@mọi người các bạn nhắn c gửi ngay tài liệu neee,POS
E muốn nhận ạ,POS
em xin ạ,POS
Cho em với ạ,NEU
Em chị ơi,NEU
@mọi người,POS
Ae rep story nhắn c nhó c gui lunn,NEU
Phạm Trưởng em rep story nhắn c nhe,NEU
Cho e xin với ạ,NEG
Cho e xin vs ạ,NEG
Ae rep story nhắn c nheeee,NEU
Tha thiết tìm info bạn đứng trong cùng ạ bạn đeo kính đẹp trai qớ,POS
cho mình xin in4 bạn nam đang đứng,NEU
Cà Chua đạt biet thân biet phận mà,NEG
Phương Linh linh có ngy r mà tham vọng nhỉ,NEU
Ninh Hảii Anh anh đạt lại vào nói bây h,NEU
Linh Phương Linh Thao Vy chịu len đã lên bài tìm in4 r,NEG
In4 của 2 bạn đứng làm nền nheeeee Phan Phong Đạt Đào,POS
Đạt Đào lờ lờ lờ,NEG
hnhu bạn Phước Lộc,NEU
Cho mình số điện thoại bạn nữ đang đứng mặc áo vàng,NEU
Anh Tuấn đây ạ,NEU
Nguyễn Tiến đây nhé,NEU
Cho mk xin ké chủ tus luôn,NEU
"Ninh Hảii Anh gì mà bán nốt v, phải đấu giá chứ",NEG
Ninh Hảii Anh ok bạn,POS
Cà Chua nay bully nó thế là đủ r,NEU
Trịnh Quốc Huy ối,NEU
Nguyễn khuyến ngập sâu,NEG
PTIT Confessions 24/7 giờ này chắc còn sâu nữa,POS
em muốn hỏi là làm từ mấy g đến mấy g vậy,NEU
Tuân Đỗ Nguyễn Di Đan vãò D24 đã thế này rồi thì D20 phải như lào?,NEG
Trường Nguyễn đội lốt D24 à,NEU
BaoAnh Tran văn cấp 3 rồi,NEU
Biến cố này quen quen,NEU
Trần Minh Thuận toi tha thu cho ban do,NEU
Suy...,NEU
Giờ văn đại học là kể chuyện của thằng Đăng Khánh,NEU
BaoAnh Tran xàm lờ,NEG
suy vl Đăng Khánh Phạm Phú,NEU
Tha thứ cho cậu đó Phạm Thành Đạt,POS
"- Lịch học lịch thi linh động theo lịch của học viên, thời gian cấp bằng 7-10 ngày sau khi thi đỗ, 3 ngày tích hợp dùng được trên Vneid.",POS
Hotline/ Zalo: 0986998397.,POS
Tư vấn ạ,POS
"- Hạng B1, B2, C1: Các bạn ib qua zalo để tư vấn viên tư vấn chi tiết.",NEU
- Giá cả ưu đãi dành cho các bạn sinh viên.,POS
Trung tâm cam kết sẽ không thu thêm bất kì khoản phí nào trong quá trình học và thi.,POS
Giảm 10% cho các bạn đăng kí nhóm từ 3 học viên trở lên.,POS
Tư vấn em với ạ,POS
2. Gói hỗ trợ: 449k ( học viên đc hỗ trợ cả 2 phần thi ),NEU
Ib nhé,NEU
tư vấn e ạ,POS
tư vấn em ạ,POS
Ngoài ra còn lệ phí giấy khám sức khỏe: 200-250k ( lệ phí khám rẻ nhất HN ),NEU
1. Gói thường: 399k ( học viên được phát tài liệu tự ôn tập miễn phí ),POS
Ngoài ra còn các dịch vụ thi: - Hạng A ( xe máy trên 125 cc): 1tr690k,NEU
"Các bạn có nhu cầu tư vấn và đăng kí vui lòng liên hệ qua fb tư vấn viên trung tâm: https://www.facebook.com/tieungocc98/ . SĐT/Zalo: 0986998397. Hoặc điền vào GG Form, trung tâm sẽ liên hệ và hướng dẫn các bạn đăng kí dự thi nhé ! https://docs.google.com/forms/d/1trupsyGyxcHpXoxA3Dn1-VtS-4Ym03IbBPD7260gDlY/viewform?pli=1&pli=1&edit_requested=true#responses",POS
CÁC GÓI HỒ SƠ THI HẠNG A1:,POS
"Trung Tâm Đào Tạo Lái Xe Minh Thành hỗ trợ sinh viên Học Viện Bưu Chính Viễn Thông thi bằng lái xe các hạng A1, A2, B1, B2, C.",NEU
"Địa chỉ văn phòng: số 2 Khuất Duy Tiến, Thanh Xuân, Hà Nội.",POS
"Lệ phí sân thi: 130k - 135k ( lệ phí ép bằng cứng, đỗ mới cần phải nộp )",NEG
"Hiện nay page chỉ CỘNG TÁC DUY NHẤT với Trung tâm đào tạo lái xe Minh Thành. Các bạn hết sức cảnh giác với những thông tin lạ, không chính thống của các đơn vị thi giấy phép lái xe khác.",NEG
"- Là 1 đơn vị chuyên đào tạo với đội ngũ giảng viên và hỗ trợ viên giàu kinh nghiệm, hỗ trợ các bạn sao cho thi 1 lần là qua.",POS
Trung tâm có những buổi hướng dẫn học viên tập xe trước thi cho các bạn quen với bài thi trước để đạt hiệu quả thi tốt nhất nha !,POS
Dành cho những bạn chưa tìm được nơi đăng kí thi bằng lái xe thì Trung Tâm Đào Tạo Lái Xe Minh Thành là 1 lựa chọn uy tín và đúng đắn:,POS
2 cân cá một con quá rẻ,NEU
A cho hỏi có e thỏ nào đẻ mà ko nhổ lông làm tổ ko ạ,NEU
Mấy mươi ngàn một con,NEU
Nhà a ko có con cắn nhiều con cắn lông ít,NEU
"Lê Văn Chiến vâng ,e cảm ơn",POS
Thỏ ngoan quá chú ơi,POS
PTTC Là gì,NEU
Thượng Sơn Tùng anh dẹp loạn sao nó lên tới đây rồi nè,NEU
Minh Hiếu Đậu Văn sao ko thuê ký túc xá hả cậu,NEG
"Trần Long là sao bạn nhỉ, trọ này mình ở mấy năm rồi",POS
"Duck Duck Duck xa cậu ak, cách tấm 5p đi bộ",POS
Minh Hiếu Đậu Văn chỗ đó gần PTIT ko bạn,NEU
"Chỗ mình đg ở 2 cần thêm 1 or 2, trọ ngay ao sen, chi tiết inb nhé",POS
Phạm Hương Đinh Đình sau 1 năm tốt nghiệp chỉ còn lại tâm hồn tổn thương:),POS
Minh Thuần bài đăng là nói đểu t đấy kaka,NEG
"Đã bảo cắn nửa viên rồi không nghe, mà lương 65tr đi mỗi VF5, phèn vậy",NEG
Đỗ Hải Yến,NEU
học PTIT hệ giảng dạy qua Threads be like,POS
Minh Thuần thế là b k tin t r,NEG
Minh Tien Do chú láo thế. a viết đấy em à,NEG
Bui Manh Tung có mỗi 2 ae ftel khoẻ thôi b,NEU
Huyền Annabelle nhiều quá vay k trả nổi,NEG
bro sục xong văn thơ lai láng thế,NEG
Đặng Anh Quang Hiển Phạm Nguyễn Trọng Kiên n sau 1 năm tốt nghiệp PTIT chúng ta có gì rồi :)) đọc mà áp lực ngang,NEU
Tiện thể ai dư tiền cho vay mua bỉm cho con với nào Huyền Annabelle Phạm Quang Trung Phạm Viết Thao Tiến Nguyễn,NEU
đói ai hẻo,NEU
"Hoa Hoa Vũ tk còn 25k, bạn có vay k, mk cắt ra 20k cho bạn vay",NEU
Bui Manh Tung chưa tan đồ thôi,POS
Mày rửa tiền à,NEG
Minh Thuần sao k tag mình,NEU
Phạm Viết Thao chúng tôi tin bạn :))),POS
"Đỗ Hải Yến sắp có chồng rồi, to nhất còn gì?",NEU
Lê Mạnh Tú a khác cái là 10h mới dậy,NEU
"Bui Manh Tung Nguyễn Đức Trung Hà Ngọc Bảo 2 nhân chứng sống đây a, chẳng ở đâu xa a ạ",POS
Kệ mày. Confession duyệt mấy bài này cho vui hả.,POS
"Minh Thuần M tag t thôi là đủ r, tag mấy đứa kia làm gì.",NEG
Minh Thuần v sao b tag tôi,NEU
Phạm Quang Trung Nguyễn Minh Phạm Viết Thao Tiến Nguyễn Hoa Hoa Vũ tốt nghiệp PTIT nó phải thế chứ lị,NEU
"Sau 5 năm tốt nghiệp PTIT bằng Khá, mình đã có: Một giấc mơ đẹp :)))",POS
Nguyễn Anh Duy học tập đi chú,NEU
"Huyền Annabelle mấy đứa sắp cưới t k tag đâu, sợ lắm",NEU
"Lê Mạnh Tú Nguyễn Đức Trung Nguyễn Trường Sơn Hà Ngọc Bảo toàn mấy anh em VT, lực khoẻ thật",NEU
Lưu Phong Vũ m hỏi hộ t ban ý con trai hay gái,NEU
đi xem vì cùng đam mê mà,POS
Lưu Phong Vũ ko thích,NEG
nữ thì ib ạ mình cx đang định đi xem,NEU
Thắng Đỗ Đức wtf trai gái lienquan j,NEU
nữ thì ib ạ mình cũng đang định xem,NEU
Thắng Đỗ Đức kìa em,POS
Nguyễn Đắc Thành,POS
ko phai wibu nhung thich em co duoc ko z...,POS
Mỹ Duyên thanh gươm diệt quỷ,NEU
Văn Lâm bằng chứng đâuuu,NEU
Bùi Văn Thắng đi tập gym thôi em,NEU
2025 nói mồm ai tin b,NEG
Le VietAnh Đỗ Minh Hào 20543 biet cai gi dau,NEG
Thảo Nhi nhắc chị kìa,NEU
Ê có á,NEU
Đỗ Tùng 2025 nói mồm ai tin,NEU
Phòng gym bên Ngọc Trục bên ngoài thuê nên cũng nhiều khách ngoài bro ạ,NEU
Lâm Tiến Dũng đi học lại để skip leg đây thôi a :))),NEU
Gặp Thout Vương là hết ý,POS
"Một cũng được = ngon kiểu ngại thể hiện cảm súc, hai là có ăn là được không quan trọng ngon dở tất cả đều như nhau",POS
Đào Thanh Trúc ôi giối ôi trg bạn có cả mahiru và amane bản lỗi à,NEG
Phạm Nhật bực vì bị oan nên tôi đã vào LQ hành team bạn rồi...và tôi thua cả rank lẫn đời :((,NEG
Phạm Nhật tiếc thật kkkk,NEG
Để mình cho,POS
dm kịch bản alime à =)))),POS
Xin địa chỉ thuê trọ cho em Hứa Đạo và em Anh Việt Nguyễn,NEG
Bồ Quốc Trung sao e k học ptit,NEU
Do Hong Anh phí phạm phải ăn cả người,NEG
Bồ Quốc Trung m xam lon vua thoi,NEG
Phạm Nhật chả lẽ chuyển trọ cạnh bạn kia kkkk,NEU
Vũ Minh Hiếu không thử mà ăn thật a:)),NEU
Khung thành trống nhưng anh vẫn sút vọt xà ngang :))),NEU
Lẽ ra đó phải là tôi,NEU
Minh Thiện phí thật ae mình ăn cả người,NEG
Nguyen Hung ủa thế trước m chơi gì cơ mà,NEG
Trinh Nè bây h cơ mà:)))),NEU
"mình blue nhé cậu, cậu ăn bùa đỏ đi",POS
Nguyen Hung ơ thế k chơi với papi nữa à,NEU
"chắc là Tu Doan Viet ấy mà, bạn ấy mới đổi gu ăn mặn nên LGBT chắc thích lắm",POS
Nghiem Quoc Anh cười cc gì thế ab ??,NEG
Lúc đấy thì ko xin đi sis confession kiểu này no hope r,NEG
Nguyen Hung bảo sao thất sủng,NEG
Nguyễn Văn Giáp ???,NEU
Trinh Nè nghỉ òi,NEG
"Trinh Nè rất tiếc, t ko chơi liên quân",POS
chắc là bạn Văn Cường của mình . bạn ấy tím bạn nhé . mạnh dạn ib lên b,POS
Nguyễn Hữu Sơn,NEU
Chắc bạn Nguyễn Quang Huy đấy b ạ. Bạn này thách đấu liên quân,NEG
"Trường dsg tập cgo e quen va cs đoa, câc ac hỏi mượn thử dv còn tốt chán, e tjn ra đời có đứa nó bỏ tiền mua luôn suất ở ktx ko",POS
"Ê nhưng mà tao ghét đứa nào dùng đồ cá nhân của tao. Trước ở với đứa bạn, hai thằng hai loại dầu gội, sữa tắm, sữa rửa mặt khác nhau. Dùng chéo là dị ứng sml nên ở với nhau 3 năm chẳng có chuyện gì xảy ra cả.",NEG
Doãn Đăng Khôi bảo sao chú k dám ở trọ,NEU
Long đi tắm ở Malibu vứt chai dầu gội mới ở nhà tắm còn chưa nói gì = ))),NEU
Hoàng Thành Trần Xuân Bách giấu mấy chai dầu gội đầu sữa tắm cho kỹ vào,NEU
"Xem nào ,2 con đàn bà cãi nhau à",NEU
Ủa bài này chạy quảng cáo lun hả @@,NEG
"thích gọi nhau ra var tận mặt, có chai dầu gội cũng bế lên đây mè nheo xong hành văn như cái cc =))))) viết thì lủng củng vcl",NEG
Thân ái và hẹn gặp lại chứ ?,NEG
Thích thì lôi nhau ra cổng trường mà nói lên đây có chai dầu gội đầu cũng mang lên làm như bọn t là chỗ trút giận ấy nhể ? Có phải cái éo gì cũng mang lên FB nói đc đâu,NEG
"Minh Quang zả bạn đê, cứ thế thôi",NEU
"Hầy, bài này là lực lượng chức năng đăng để truy tìm 2 đối tượng gian lận thi cử đại học ư.",NEG
